Region,CryptoPos,GiardiaPos
Taranaki,1,0
Taranaki,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Manawatu-Wanganui,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Hawke's Bay,1,0
Otago,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Auckland,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,0,1
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Manawatu-Wanganui,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Hawke's Bay,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
Otago,1,0
