Region,4595700
Northland,168300
Auckland,1569900
Waikato,439100
Bay of Plenty,287100
Gisborne,47400
Hawke's Bay,160000
Taranaki,115700
Manawatu-Wanganui,234500
Wellington,496900
Tasman,49500
Nelson,49900
Marlborough,45300
West Coast,32700
Canterbury, 586400
Otago,215000
Southland,97300
Area outside,610
